level,component_reference,component_name,component_quantity,parent_bom_reference,parent_bom_name,has_child_bom
4,M00389,Cable Tie 100mm x 2.5 mm,10.00,M00320,PRO - Miscellaneous Components Bag,False
4,M00354,CNC Pro/Fab - Steel Parts - Nut Offset,4.00,M00320,PRO - Miscellaneous Components Bag,False
4,M00364,CNC Pro/Fab - Steels Parts - Bearing Support Offset Plate,4.00,M00320,PRO - Miscellaneous Components Bag,False
4,M00322,CNC Pro - Steel Parts - Cable Chain Holder,2.00,M00320,PRO - Miscellaneous Components Bag,False
4,M00380,Cable Chain TP15 End Connector (Female),2.00,M00320,PRO - Miscellaneous Components Bag,False
4,M00381,Cable Chain TP15 End Connector (Male),2.00,M00320,PRO - Miscellaneous Components Bag,False
4,M00518,Flexible Motor Coupler D25L30 - 6.35mm to 10mm,4.00,M00320,PRO - Miscellaneous Components Bag,False
4,M00887,Wood screw 4x25mm,4.00,M00320,PRO - Miscellaneous Components Bag,False
3,M00339,PRO-M - I-Type Sliding Nut M5 Bag,1.00,M00343,PRO-M - Mechanical Elements Box,True
4,M00555,I-Type Sliding Nut M5,74.00,M00339,PRO-M - I-Type Sliding Nut M5 Bag,False
3,M00337,PRO-M - Black screw DIN912 M5x16 Bag,1.00,M00343,PRO-M - Mechanical Elements Box,True
